tab,group,label,key,modes,current_tier,recommended_tier,changes,why,your_call,move_to
arena,Game Types,King of the Hill,arenaType_KING_OF_HILL,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
arena,Game Types,Survival Waves,arenaType_SURVIVAL_WAVES,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
arena,Game Types,Deathmatch,arenaType_DEATHMATCH,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
arena,Game Types,Capture the Flag,arenaType_CAPTURE_FLAG,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
arena,Game Types,Defend the Tower,arenaType_DEFEND_TOWER,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
combat,Multiplayer Boss Scaling,Boss Health,bossHealthMultiplier,normal platformer sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
combat,Multiplayer Boss Scaling,Boss Damage,bossDamageMultiplier,normal platformer sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
combat,Multiplayer Boss Scaling,Boss Attack Rate,bossAttackRateMultiplier,normal platformer sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Multiplayer Boss Scaling,Disable Dragon Healing,disableDragonHealing,normal platformer sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Ranged,Unlimited Arrows,unlimitedArrows,normal platformer sandbox,advanced,basic,YES,a feature switch a designer decides deliberately,agreed,
combat,Ranged,Recoverable Arrows,recoverableArrows,normal platformer sandbox,advanced,basic,YES,a feature switch a designer decides deliberately,agreed,
combat,Ranged,Straight Arrow Flight,arrowStraight,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
combat,Ranged,Arrow Speed,arrowSpeedMult,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
combat,Ranged,Charged Shots (charge → damage),chargeDamage,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
combat,Ranged,Max Charge Damage,chargeDamageMax,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
combat,Ranged,Charge Speed,chargeSpeedMult,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Smart Detection,smartDetection,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
mobs,Detection,Axis · Line of Sight,detectSight,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Axis · Sound,detectSound,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Axis · Attacks/Jumps,detectAction,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Sight Range,detectSightRange,normal platformer arena sandbox,basic,advanced,YES,child knob of a toggle above it,agreed,
mobs,Detection,Sight Cone,detectSightArc,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Walk Sound,detectSoundWalk,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Run Sound,detectSoundRun,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Loud-Block Sound,detectSoundLoud,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Detection,Attack/Jump Sound,detectActionRange,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
mobs,Pack,Pack Behavior,packAlert,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Pack,Alert Spread Range,packRadius,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Sprint,Sprinting Mobs,sprintingMobs,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
mobs,Wayfinding,Path-Aware Mobs,pathAwareMobs,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Wayfinding,Path Range,pathSearchRadius,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Wayfinding,Path Update,pathRecomputeFrames,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Retreating Mobs,Zombie,lowHpAction_zombie,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Retreating Mobs,Zombie · Flee Below,lowHpThreshold_zombie,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Retreating Mobs,Skeleton,lowHpAction_skeleton,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Retreating Mobs,Skeleton · Flee Below,lowHpThreshold_skeleton,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Retreating Mobs,Cave Spider,lowHpAction_cave_spider,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Retreating Mobs,Cave Spider · Flee Below,lowHpThreshold_cave_spider,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Retreating Mobs,Piglin,lowHpAction_piglin,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Retreating Mobs,Piglin · Flee Below,lowHpThreshold_piglin,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Retreating Mobs,Wither Skel.,lowHpAction_wither_skeleton,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Retreating Mobs,Wither Skel. · Flee Below,lowHpThreshold_wither_skeleton,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Spider Webs,Spider Webs,spiderWebs,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
mobs,Spider Webs,Slowness,webSlowPct,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Spider Webs,Duration,webDurationSec,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
mobs,Spider Webs,Stacking,webStacking,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Special Moves,Slide Attack (Spear),slideAttack,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
combat,Special Moves,Slide Attack Damage,slideAttackDmg,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
combat,Special Moves,Advanced Attacks (directional),advancedAttacks,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
combat,Weapons,Melee Weapon,startingMelee,normal platformer arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,,
combat,Weapons,Ranged Weapon,startingRanged,normal platformer arena sandbox,basic,advanced,YES,numeric tuning of an already-working default,let's keep it basic,
combat,Weapon · Sword,Damage,wpn_sword_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Sword,Attack Speed,wpn_sword_atkSpeed,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Sword,Hit All Mobs,wpn_sword_hitAll,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Spear,Damage,wpn_spear_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Spear,Attack Speed,wpn_spear_atkSpeed,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Spear,Hit All Mobs,wpn_spear_hitAll,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Axe,Damage,wpn_axe_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Axe,Attack Speed,wpn_axe_atkSpeed,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Axe,Knockback,wpn_axe_knockback,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Trident,Damage,wpn_trident_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Trident,Attack Speed,wpn_trident_atkSpeed,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Trident,Throwable,wpn_trident_throwable,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,default on
combat,Weapon · Trident,Recall (right-click),tridentAutoReturn,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,default right click
combat,Weapon · Trident,Guided (steer to cursor),guidedTrident,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,default on
combat,Weapon · Trident,Guided Turn Speed,tridentTurn,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Bow,Damage,wpn_bow_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Bow,Piercing,wpn_bow_pierce,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Crossbow,Damage,wpn_crossbow_dmgMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Crossbow,Piercing,wpn_crossbow_pierce,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Configure Boomerang,weaponBoomerang,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,Not needed - promote other settings to be aligned with where this is,Weapon - Boomerang is a heading that only shows up when advanced is clicked
combat,Weapon · Boomerang,Look,boomerangLook,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,agreed,
combat,Weapon · Boomerang,Range,boomerangRange,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Speed,boomerangSpeed,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Deceleration Point,boomerangDecel,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Steer Intensity ⚗,boomerangSteer,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Return Speed ⚗,boomerangReturnMult,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Wall Mode,boomerangWall,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,On Block Hit,boomerangOnBlock,normal platformer arena sandbox,advanced,advanced,,fine-tuning group behind a working default,,
combat,Weapon · Boomerang,Return Trigger,boomerangReturn,normal platformer arena sandbox,basic,advanced,YES,fine-tuning group behind a working default,,
movement,Grappling Hook,Configure Grappling Hook,weaponGrapple,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,Not needed - promote other settings to be aligned with where this is,
movement,Grappling Hook,Range,grappleRange,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Grappling Hook,Hook Damage,grappleDamage,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Grappling Hook,Attach To,grappleAttach,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Grappling Hook,Grapple Enemies,grappleEnemies,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,Switch to Basic,
movement,Grappling Hook,Grapple Collectibles,grappleCollectibles,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,Switch to Basic,
movement,Grappling Hook,Release Momentum · Horizontal,grappleReleaseBoostH,normal platformer arena sandbox,basic,advanced,YES,child knob of a toggle above it,Switch to Advanced,
movement,Grappling Hook,Release Momentum · Vertical,grappleReleaseBoostV,normal platformer arena sandbox,basic,advanced,YES,child knob of a toggle above it,Switch to Advanced,
movement,Grappling Hook,Swing Assist,grappleSwingAssist,normal platformer arena sandbox,basic,advanced,YES,child knob of a toggle above it,,
movement,Grappling Hook,Swing Assist Strength,grappleSwingStrength,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,Switch to Advanced,
